id,precinct,office,candidate,party,votes
1055,Scriba 1,Lieutenant Governor (DEM),,,
1056,Scriba 1,Lieutenant Governor (DEM),Ballots,,32
1057,Scriba 1,Lieutenant Governor (DEM),Kathy C. Hochul,,20
1058,Scriba 1,Lieutenant Governor (DEM),Jumaane Williams,,11
1059,Scriba 1,Lieutenant Governor (DEM),Write-ins,,0
1060,Scriba 1,Lieutenant Governor (DEM),Voids/Blanks,,1
1061,Scriba 2,Lieutenant Governor (DEM),,,
1062,Scriba 2,Lieutenant Governor (DEM),Ballots,,23
1063,Scriba 2,Lieutenant Governor (DEM),Kathy C. Hochul,,16
1064,Scriba 2,Lieutenant Governor (DEM),Jumaane Williams,,7
1065,Scriba 2,Lieutenant Governor (DEM),Write-ins,,0
1066,Scriba 2,Lieutenant Governor (DEM),Voids/Blanks,,0
1067,Scriba 3,Lieutenant Governor (DEM),,,
1068,Scriba 3,Lieutenant Governor (DEM),Ballots,,55
1069,Scriba 3,Lieutenant Governor (DEM),Kathy C. Hochul,,43
1070,Scriba 3,Lieutenant Governor (DEM),Jumaane Williams,,9
1071,Scriba 3,Lieutenant Governor (DEM),Write-ins,,0
1072,Scriba 3,Lieutenant Governor (DEM),Voids/Blanks,,3
1073,Scriba 4,Lieutenant Governor (DEM),,,
1074,Scriba 4,Lieutenant Governor (DEM),Ballots,,29
1075,Scriba 4,Lieutenant Governor (DEM),Kathy C. Hochul,,15
1076,Scriba 4,Lieutenant Governor (DEM),Jumaane Williams,,12
1077,Scriba 4,Lieutenant Governor (DEM),Write-ins,,0
1078,Scriba 4,Lieutenant Governor (DEM),Voids/Blanks,,2
1079,Scriba 5,Lieutenant Governor (DEM),,,
1080,Scriba 5,Lieutenant Governor (DEM),Ballots,,26
1081,Scriba 5,Lieutenant Governor (DEM),Kathy C. Hochul,,16
1082,Scriba 5,Lieutenant Governor (DEM),Jumaane Williams,,9
1083,Scriba 5,Lieutenant Governor (DEM),Write-ins,,1
1084,Scriba 5,Lieutenant Governor (DEM),Voids/Blanks,,0
1085,Scriba 6,Lieutenant Governor (DEM),,,
1086,Scriba 6,Lieutenant Governor (DEM),Ballots,,16
1087,Scriba 6,Lieutenant Governor (DEM),Kathy C. Hochul,,6
1088,Scriba 6,Lieutenant Governor (DEM),Jumaane Williams,,10
1089,Scriba 6,Lieutenant Governor (DEM),Write-ins,,0
1090,Scriba 6,Lieutenant Governor (DEM),Voids/Blanks,,0
1091,Volney 1,Lieutenant Governor (DEM),,,
1092,Volney 1,Lieutenant Governor (DEM),Ballots,,29
1093,Volney 1,Lieutenant Governor (DEM),Kathy C. Hochul,,16
1094,Volney 1,Lieutenant Governor (DEM),Jumaane Williams,,9
1095,Volney 1,Lieutenant Governor (DEM),Write-ins,,0
1096,Volney 1,Lieutenant Governor (DEM),Voids/Blanks,,4
1097,Volney 2,Lieutenant Governor (DEM),,,
1098,Volney 2,Lieutenant Governor (DEM),Ballots,,32
1099,Volney 2,Lieutenant Governor (DEM),Kathy C. Hochul,,21
1100,Volney 2,Lieutenant Governor (DEM),Jumaane Williams,,10
1101,Volney 2,Lieutenant Governor (DEM),Write-ins,,0
1102,Volney 2,Lieutenant Governor (DEM),Voids/Blanks,,1
1103,Volney 3,Lieutenant Governor (DEM),,,
1104,Volney 3,Lieutenant Governor (DEM),Ballots,,34
1105,Volney 3,Lieutenant Governor (DEM),Kathy C. Hochul,,23
1106,Volney 3,Lieutenant Governor (DEM),Jumaane Williams,,9
1107,Volney 3,Lieutenant Governor (DEM),Write-ins,,0
1108,Volney 3,Lieutenant Governor (DEM),Voids/Blanks,,2
1109,Volney 4,Lieutenant Governor (DEM),,,
1110,Volney 4,Lieutenant Governor (DEM),Ballots,,56
1111,Volney 4,Lieutenant Governor (DEM),Kathy C. Hochul,,28
1112,Volney 4,Lieutenant Governor (DEM),Jumaane Williams,,22
1113,Volney 4,Lieutenant Governor (DEM),Write-ins,,0
1114,Volney 4,Lieutenant Governor (DEM),Voids/Blanks,,6
1115,Volney 5,Lieutenant Governor (DEM),,,
1116,Volney 5,Lieutenant Governor (DEM),Ballots,,8
1117,Volney 5,Lieutenant Governor (DEM),Kathy C. Hochul,,3
1118,Volney 5,Lieutenant Governor (DEM),Jumaane Williams,,5
1119,Volney 5,Lieutenant Governor (DEM),Write-ins,,0
1120,Volney 5,Lieutenant Governor (DEM),Voids/Blanks,,0
1121,West Monroe 1,Lieutenant Governor (DEM),,,
1122,West Monroe 1,Lieutenant Governor (DEM),Ballots,,15
1123,West Monroe 1,Lieutenant Governor (DEM),Kathy C. Hochul,,10
1124,West Monroe 1,Lieutenant Governor (DEM),Jumaane Williams,,2
1125,West Monroe 1,Lieutenant Governor (DEM),Write-ins,,1
1126,West Monroe 1,Lieutenant Governor (DEM),Voids/Blanks,,2
1127,West Monroe 2,Lieutenant Governor (DEM),,,
1128,West Monroe 2,Lieutenant Governor (DEM),Ballots,,23
1129,West Monroe 2,Lieutenant Governor (DEM),Kathy C. Hochul,,14
1130,West Monroe 2,Lieutenant Governor (DEM),Jumaane Williams,,9
1131,West Monroe 2,Lieutenant Governor (DEM),Write-ins,,0
1132,West Monroe 2,Lieutenant Governor (DEM),Voids/Blanks,,0
1133,West Monroe 3,Lieutenant Governor (DEM),,,
1134,West Monroe 3,Lieutenant Governor (DEM),Ballots,,51
1135,West Monroe 3,Lieutenant Governor (DEM),Kathy C. Hochul,,25
1136,West Monroe 3,Lieutenant Governor (DEM),Jumaane Williams,,18
1137,West Monroe 3,Lieutenant Governor (DEM),Write-ins,,0
1138,West Monroe 3,Lieutenant Governor (DEM),Voids/Blanks,,8
1139,Williamstown 1,Lieutenant Governor (DEM),,,
1140,Williamstown 1,Lieutenant Governor (DEM),Ballots,,24
1141,Williamstown 1,Lieutenant Governor (DEM),Kathy C. Hochul,,12
1142,Williamstown 1,Lieutenant Governor (DEM),Jumaane Williams,,10
1143,Williamstown 1,Lieutenant Governor (DEM),Write-ins,,0
1144,Williamstown 1,Lieutenant Governor (DEM),Voids/Blanks,,2
1145,Oswego 1 1,Lieutenant Governor (DEM),,,
1146,Oswego 1 1,Lieutenant Governor (DEM),Ballots,,97
1147,Oswego 1 1,Lieutenant Governor (DEM),Kathy C. Hochul,,52
1148,Oswego 1 1,Lieutenant Governor (DEM),Jumaane Williams,,35
1149,Oswego 1 1,Lieutenant Governor (DEM),Write-ins,,0
1150,Oswego 1 1,Lieutenant Governor (DEM),Voids/Blanks,,10
1151,Oswego 1 2,Lieutenant Governor (DEM),,,
1152,Oswego 1 2,Lieutenant Governor (DEM),Ballots,,36
1153,Oswego 1 2,Lieutenant Governor (DEM),Kathy C. Hochul,,23
1154,Oswego 1 2,Lieutenant Governor (DEM),Jumaane Williams,,12
1155,Oswego 1 2,Lieutenant Governor (DEM),Write-ins,,0
1156,Oswego 1 2,Lieutenant Governor (DEM),Voids/Blanks,,1
1157,Oswego 2 1,Lieutenant Governor (DEM),,,
1158,Oswego 2 1,Lieutenant Governor (DEM),Ballots,,25
1159,Oswego 2 1,Lieutenant Governor (DEM),Kathy C. Hochul,,19
1160,Oswego 2 1,Lieutenant Governor (DEM),Jumaane Williams,,5
1161,Oswego 2 1,Lieutenant Governor (DEM),Write-ins,,0
1162,Oswego 2 1,Lieutenant Governor (DEM),Voids/Blanks,,1
1163,Oswego 2 2,Lieutenant Governor (DEM),,,
1164,Oswego 2 2,Lieutenant Governor (DEM),Ballots,,74
1165,Oswego 2 2,Lieutenant Governor (DEM),Kathy C. Hochul,,47
1166,Oswego 2 2,Lieutenant Governor (DEM),Jumaane Williams,,23
1167,Oswego 2 2,Lieutenant Governor (DEM),Write-ins,,0
1168,Oswego 2 2,Lieutenant Governor (DEM),Voids/Blanks,,4
1169,Oswego 3 1,Lieutenant Governor (DEM),,,
1170,Oswego 3 1,Lieutenant Governor (DEM),Ballots,,71
1171,Oswego 3 1,Lieutenant Governor (DEM),Kathy C. Hochul,,38
1172,Oswego 3 1,Lieutenant Governor (DEM),Jumaane Williams,,31
1173,Oswego 3 1,Lieutenant Governor (DEM),Write-ins,,0
1174,Oswego 3 1,Lieutenant Governor (DEM),Voids/Blanks,,2
1175,Oswego 3 2,Lieutenant Governor (DEM),,,
1176,Oswego 3 2,Lieutenant Governor (DEM),Ballots,,22
1177,Oswego 3 2,Lieutenant Governor (DEM),Kathy C. Hochul,,15
1178,Oswego 3 2,Lieutenant Governor (DEM),Jumaane Williams,,5
1179,Oswego 3 2,Lieutenant Governor (DEM),Write-ins,,0
1180,Oswego 3 2,Lieutenant Governor (DEM),Voids/Blanks,,2
1181,Oswego 4 1,Lieutenant Governor (DEM),,,
1182,Oswego 4 1,Lieutenant Governor (DEM),Ballots,,61
1183,Oswego 4 1,Lieutenant Governor (DEM),Kathy C. Hochul,,38
1184,Oswego 4 1,Lieutenant Governor (DEM),Jumaane Williams,,18
1185,Oswego 4 1,Lieutenant Governor (DEM),Write-ins,,0
1186,Oswego 4 1,Lieutenant Governor (DEM),Voids/Blanks,,5
1187,Oswego 4 2,Lieutenant Governor (DEM),,,
1188,Oswego 4 2,Lieutenant Governor (DEM),Ballots,,46
1189,Oswego 4 2,Lieutenant Governor (DEM),Kathy C. Hochul,,23
1190,Oswego 4 2,Lieutenant Governor (DEM),Jumaane Williams,,18
1191,Oswego 4 2,Lieutenant Governor (DEM),Write-ins,,0
1192,Oswego 4 2,Lieutenant Governor (DEM),Voids/Blanks,,5
1193,Oswego 4 3,Lieutenant Governor (DEM),,,
1194,Oswego 4 3,Lieutenant Governor (DEM),Ballots,,43
1195,Oswego 4 3,Lieutenant Governor (DEM),Kathy C. Hochul,,26
1196,Oswego 4 3,Lieutenant Governor (DEM),Jumaane Williams,,14
1197,Oswego 4 3,Lieutenant Governor (DEM),Write-ins,,0
1198,Oswego 4 3,Lieutenant Governor (DEM),Voids/Blanks,,3
1199,Oswego 5 1,Lieutenant Governor (DEM),,,
1200,Oswego 5 1,Lieutenant Governor (DEM),Ballots,,55
1201,Oswego 5 1,Lieutenant Governor (DEM),Kathy C. Hochul,,35
1202,Oswego 5 1,Lieutenant Governor (DEM),Jumaane Williams,,15
1203,Oswego 5 1,Lieutenant Governor (DEM),Write-ins,,0
1204,Oswego 5 1,Lieutenant Governor (DEM),Voids/Blanks,,5
1205,Oswego 5 2,Lieutenant Governor (DEM),,,
1206,Oswego 5 2,Lieutenant Governor (DEM),Ballots,,37
1207,Oswego 5 2,Lieutenant Governor (DEM),Kathy C. Hochul,,20
1208,Oswego 5 2,Lieutenant Governor (DEM),Jumaane Williams,,13
1209,Oswego 5 2,Lieutenant Governor (DEM),Write-ins,,1
1210,Oswego 5 2,Lieutenant Governor (DEM),Voids/Blanks,,3
1211,Oswego 5 3,Lieutenant Governor (DEM),,,
1212,Oswego 5 3,Lieutenant Governor (DEM),Ballots,,12
1213,Oswego 5 3,Lieutenant Governor (DEM),Kathy C. Hochul,,6
1214,Oswego 5 3,Lieutenant Governor (DEM),Jumaane Williams,,4
1215,Oswego 5 3,Lieutenant Governor (DEM),Write-ins,,0
1216,Oswego 5 3,Lieutenant Governor (DEM),Voids/Blanks,,2
1217,Oswego 5 4,Lieutenant Governor (DEM),,,
1218,Oswego 5 4,Lieutenant Governor (DEM),Ballots,,10
1219,Oswego 5 4,Lieutenant Governor (DEM),Kathy C. Hochul,,4
1220,Oswego 5 4,Lieutenant Governor (DEM),Jumaane Williams,,5
1221,Oswego 5 4,Lieutenant Governor (DEM),Write-ins,,0
1222,Oswego 5 4,Lieutenant Governor (DEM),Voids/Blanks,,1
1223,Oswego 6 1,Lieutenant Governor (DEM),,,
1224,Oswego 6 1,Lieutenant Governor (DEM),Ballots,,94
1225,Oswego 6 1,Lieutenant Governor (DEM),Kathy C. Hochul,,50
1226,Oswego 6 1,Lieutenant Governor (DEM),Jumaane Williams,,36
1227,Oswego 6 1,Lieutenant Governor (DEM),Write-ins,,0
1228,Oswego 6 1,Lieutenant Governor (DEM),Voids/Blanks,,8
1229,Oswego 6 2,Lieutenant Governor (DEM),,,
1230,Oswego 6 2,Lieutenant Governor (DEM),Ballots,,14
1231,Oswego 6 2,Lieutenant Governor (DEM),Kathy C. Hochul,,7
1232,Oswego 6 2,Lieutenant Governor (DEM),Jumaane Williams,,5
1233,Oswego 6 2,Lieutenant Governor (DEM),Write-ins,,0
1234,Oswego 6 2,Lieutenant Governor (DEM),Voids/Blanks,,2
1235,Oswego 7 1,Lieutenant Governor (DEM),,,
1236,Oswego 7 1,Lieutenant Governor (DEM),Ballots,,84
1237,Oswego 7 1,Lieutenant Governor (DEM),Kathy C. Hochul,,52
1238,Oswego 7 1,Lieutenant Governor (DEM),Jumaane Williams,,26
1239,Oswego 7 1,Lieutenant Governor (DEM),Write-ins,,0
1240,Oswego 7 1,Lieutenant Governor (DEM),Voids/Blanks,,6
1241,Oswego 7 2,Lieutenant Governor (DEM),,,
1242,Oswego 7 2,Lieutenant Governor (DEM),Ballots,,76
1243,Oswego 7 2,Lieutenant Governor (DEM),Kathy C. Hochul,,47
1244,Oswego 7 2,Lieutenant Governor (DEM),Jumaane Williams,,21
1245,Oswego 7 2,Lieutenant Governor (DEM),Write-ins,,0
1246,Oswego 7 2,Lieutenant Governor (DEM),Voids/Blanks,,8
1247,Oswego 7 3,Lieutenant Governor (DEM),,,
1248,Oswego 7 3,Lieutenant Governor (DEM),Ballots,,5
1249,Oswego 7 3,Lieutenant Governor (DEM),Kathy C. Hochul,,1
1250,Oswego 7 3,Lieutenant Governor (DEM),Jumaane Williams,,4
1251,Oswego 7 3,Lieutenant Governor (DEM),Write-ins,,0
1252,Oswego 7 3,Lieutenant Governor (DEM),Voids/Blanks,,0
1253,Fulton 1 1,Lieutenant Governor (DEM),,,
1254,Fulton 1 1,Lieutenant Governor (DEM),Ballots,,47
1255,Fulton 1 1,Lieutenant Governor (DEM),Kathy C. Hochul,,29
1256,Fulton 1 1,Lieutenant Governor (DEM),Jumaane Williams,,14
1257,Fulton 1 1,Lieutenant Governor (DEM),Write-ins,,0
1258,Fulton 1 1,Lieutenant Governor (DEM),Voids/Blanks,,4
1259,Fulton 1 2,Lieutenant Governor (DEM),,,
1260,Fulton 1 2,Lieutenant Governor (DEM),Ballots,,9
1261,Fulton 1 2,Lieutenant Governor (DEM),Kathy C. Hochul,,5
1262,Fulton 1 2,Lieutenant Governor (DEM),Jumaane Williams,,3
1263,Fulton 1 2,Lieutenant Governor (DEM),Write-ins,,0
1264,Fulton 1 2,Lieutenant Governor (DEM),Voids/Blanks,,1
1265,Fulton 2 1,Lieutenant Governor (DEM),,,
1266,Fulton 2 1,Lieutenant Governor (DEM),Ballots,,5
1267,Fulton 2 1,Lieutenant Governor (DEM),Kathy C. Hochul,,2
1268,Fulton 2 1,Lieutenant Governor (DEM),Jumaane Williams,,2
1269,Fulton 2 1,Lieutenant Governor (DEM),Write-ins,,0
1270,Fulton 2 1,Lieutenant Governor (DEM),Voids/Blanks,,1
1271,Fulton 2 2,Lieutenant Governor (DEM),,,
1272,Fulton 2 2,Lieutenant Governor (DEM),Ballots,,28
1273,Fulton 2 2,Lieutenant Governor (DEM),Kathy C. Hochul,,21
1274,Fulton 2 2,Lieutenant Governor (DEM),Jumaane Williams,,7
1275,Fulton 2 2,Lieutenant Governor (DEM),Write-ins,,0
1276,Fulton 2 2,Lieutenant Governor (DEM),Voids/Blanks,,0
1277,Fulton 3 1,Lieutenant Governor (DEM),,,
1278,Fulton 3 1,Lieutenant Governor (DEM),Ballots,,54
1279,Fulton 3 1,Lieutenant Governor (DEM),Kathy C. Hochul,,35
1280,Fulton 3 1,Lieutenant Governor (DEM),Jumaane Williams,,16
1281,Fulton 3 1,Lieutenant Governor (DEM),Write-ins,,0
1282,Fulton 3 1,Lieutenant Governor (DEM),Voids/Blanks,,3
1283,Fulton 3 2,Lieutenant Governor (DEM),,,
1284,Fulton 3 2,Lieutenant Governor (DEM),Ballots,,43
1285,Fulton 3 2,Lieutenant Governor (DEM),Kathy C. Hochul,,24
1286,Fulton 3 2,Lieutenant Governor (DEM),Jumaane Williams,,16
1287,Fulton 3 2,Lieutenant Governor (DEM),Write-ins,,0
1288,Fulton 3 2,Lieutenant Governor (DEM),Voids/Blanks,,3
1289,Fulton 4 1,Lieutenant Governor (DEM),,,
1290,Fulton 4 1,Lieutenant Governor (DEM),Ballots,,7
1291,Fulton 4 1,Lieutenant Governor (DEM),Kathy C. Hochul,,3
1292,Fulton 4 1,Lieutenant Governor (DEM),Jumaane Williams,,4
1293,Fulton 4 1,Lieutenant Governor (DEM),Write-ins,,0
1294,Fulton 4 1,Lieutenant Governor (DEM),Voids/Blanks,,0
1295,Fulton 4 2,Lieutenant Governor (DEM),,,
1296,Fulton 4 2,Lieutenant Governor (DEM),Ballots,,26
1297,Fulton 4 2,Lieutenant Governor (DEM),Kathy C. Hochul,,14
1298,Fulton 4 2,Lieutenant Governor (DEM),Jumaane Williams,,9
1299,Fulton 4 2,Lieutenant Governor (DEM),Write-ins,,0
1300,Fulton 4 2,Lieutenant Governor (DEM),Voids/Blanks,,3
1301,Fulton 4 3,Lieutenant Governor (DEM),,,
1302,Fulton 4 3,Lieutenant Governor (DEM),Ballots,,12
1303,Fulton 4 3,Lieutenant Governor (DEM),Kathy C. Hochul,,7
1304,Fulton 4 3,Lieutenant Governor (DEM),Jumaane Williams,,5
1305,Fulton 4 3,Lieutenant Governor (DEM),Write-ins,,0
1306,Fulton 4 3,Lieutenant Governor (DEM),Voids/Blanks,,0
1307,Fulton 5 1,Lieutenant Governor (DEM),,,
1308,Fulton 5 1,Lieutenant Governor (DEM),Ballots,,38
1309,Fulton 5 1,Lieutenant Governor (DEM),Kathy C. Hochul,,27
1310,Fulton 5 1,Lieutenant Governor (DEM),Jumaane Williams,,5
1311,Fulton 5 1,Lieutenant Governor (DEM),Write-ins,,0
1312,Fulton 5 1,Lieutenant Governor (DEM),Voids/Blanks,,6
1313,Fulton 5 2,Lieutenant Governor (DEM),,,
1314,Fulton 5 2,Lieutenant Governor (DEM),Ballots,,27
1315,Fulton 5 2,Lieutenant Governor (DEM),Kathy C. Hochul,,14
1316,Fulton 5 2,Lieutenant Governor (DEM),Jumaane Williams,,13
1317,Fulton 5 2,Lieutenant Governor (DEM),Write-ins,,0
1318,Fulton 5 2,Lieutenant Governor (DEM),Voids/Blanks,,0
1319,Fulton 5 3,Lieutenant Governor (DEM),,,
1320,Fulton 5 3,Lieutenant Governor (DEM),Ballots,,1
1321,Fulton 5 3,Lieutenant Governor (DEM),Kathy C. Hochul,,1
1322,Fulton 5 3,Lieutenant Governor (DEM),Jumaane Williams,,0
1323,Fulton 5 3,Lieutenant Governor (DEM),Write-ins,,0
1324,Fulton 5 3,Lieutenant Governor (DEM),Voids/Blanks,,0
1325,Fulton 6 1,Lieutenant Governor (DEM),,,
1326,Fulton 6 1,Lieutenant Governor (DEM),Ballots,,29
1327,Fulton 6 1,Lieutenant Governor (DEM),Kathy C. Hochul,,21
1328,Fulton 6 1,Lieutenant Governor (DEM),Jumaane Williams,,5
1329,Fulton 6 1,Lieutenant Governor (DEM),Write-ins,,0
1330,Fulton 6 1,Lieutenant Governor (DEM),Voids/Blanks,,3
1331,Fulton 6 2,Lieutenant Governor (DEM),,,
1332,Fulton 6 2,Lieutenant Governor (DEM),Ballots,,13
1333,Fulton 6 2,Lieutenant Governor (DEM),Kathy C. Hochul,,10
1334,Fulton 6 2,Lieutenant Governor (DEM),Jumaane Williams,,2
1335,Fulton 6 2,Lieutenant Governor (DEM),Write-ins,,0
1336,Fulton 6 2,Lieutenant Governor (DEM),Voids/Blanks,,1
1338,Fulton 6 2,Lieutenant Governor (DEM),Ballots,,"3,437"
1339,Fulton 6 2,Lieutenant Governor (DEM),Kathy C. Hochul,,"1,982"
1340,Fulton 6 2,Lieutenant Governor (DEM),Jumaane Williams,,"1,206"
1341,Fulton 6 2,Lieutenant Governor (DEM),Write-ins,,5
1342,Fulton 6 2,Lieutenant Governor (DEM),Voids/Blanks,,244
1345,Fulton 6 2,Lieutenant Governor (DEM),Ballots,,"3,437"
1346,Fulton 6 2,Lieutenant Governor (DEM),Kathy C. Hochul,,"1,982"
1347,Fulton 6 2,Lieutenant Governor (DEM),Jumaane Williams,,"1,206"
1348,Fulton 6 2,Lieutenant Governor (DEM),Write-ins,,5
1349,Fulton 6 2,Lieutenant Governor (DEM),Voids/Blanks,,244
1350,Fulton 6 2,Attorney General (DEM),,,
1352,Albion 1,Attorney General (DEM),,,
1353,Albion 1,Attorney General (DEM),Ballots,,19
1354,Albion 1,Attorney General (DEM),Sean Patrick Maloney,,13
1355,Albion 1,Attorney General (DEM),Letitia A. James,,3
1356,Albion 1,Attorney General (DEM),Leecia R. Eve,,0
1357,Albion 1,Attorney General (DEM),Zephyr Teachout,,2
1358,Albion 1,Attorney General (DEM),Write-ins,,0
1359,Albion 1,Attorney General (DEM),Voids/Blanks,,1
1360,Albion 2,Attorney General (DEM),,,
1361,Albion 2,Attorney General (DEM),Ballots,,23
1362,Albion 2,Attorney General (DEM),Sean Patrick Maloney,,14
1363,Albion 2,Attorney General (DEM),Letitia A. James,,2
1364,Albion 2,Attorney General (DEM),Leecia R. Eve,,0
1365,Albion 2,Attorney General (DEM),Zephyr Teachout,,4
1366,Albion 2,Attorney General (DEM),Write-ins,,0
1367,Albion 2,Attorney General (DEM),Voids/Blanks,,3
1368,Amboy 1,Attorney General (DEM),,,
1369,Amboy 1,Attorney General (DEM),Ballots,,25
1370,Amboy 1,Attorney General (DEM),Sean Patrick Maloney,,13
1371,Amboy 1,Attorney General (DEM),Letitia A. James,,3
1372,Amboy 1,Attorney General (DEM),Leecia R. Eve,,1
1373,Amboy 1,Attorney General (DEM),Zephyr Teachout,,7
1374,Amboy 1,Attorney General (DEM),Write-ins,,0
1375,Amboy 1,Attorney General (DEM),Voids/Blanks,,1
1376,Boylston 1,Attorney General (DEM),,,
1377,Boylston 1,Attorney General (DEM),Ballots,,20
1378,Boylston 1,Attorney General (DEM),Sean Patrick Maloney,,9
1379,Boylston 1,Attorney General (DEM),Letitia A. James,,5
1380,Boylston 1,Attorney General (DEM),Leecia R. Eve,,1
1381,Boylston 1,Attorney General (DEM),Zephyr Teachout,,4
1382,Boylston 1,Attorney General (DEM),Write-ins,,0
1383,Boylston 1,Attorney General (DEM),Voids/Blanks,,1
1384,Constantia 1,Attorney General (DEM),,,
1385,Constantia 1,Attorney General (DEM),Ballots,,38
1386,Constantia 1,Attorney General (DEM),Sean Patrick Maloney,,25
1387,Constantia 1,Attorney General (DEM),Letitia A. James,,3
1388,Constantia 1,Attorney General (DEM),Leecia R. Eve,,1
1389,Constantia 1,Attorney General (DEM),Zephyr Teachout,,7
1390,Constantia 1,Attorney General (DEM),Write-ins,,0
1391,Constantia 1,Attorney General (DEM),Voids/Blanks,,2
1392,Constantia 2,Attorney General (DEM),,,
1393,Constantia 2,Attorney General (DEM),Ballots,,23
1394,Constantia 2,Attorney General (DEM),Sean Patrick Maloney,,10
1395,Constantia 2,Attorney General (DEM),Letitia A. James,,3
1396,Constantia 2,Attorney General (DEM),Leecia R. Eve,,1
1397,Constantia 2,Attorney General (DEM),Zephyr Teachout,,9
1398,Constantia 2,Attorney General (DEM),Write-ins,,0
1399,Constantia 2,Attorney General (DEM),Voids/Blanks,,0
1400,Constantia 3,Attorney General (DEM),,,
1401,Constantia 3,Attorney General (DEM),Ballots,,21
1402,Constantia 3,Attorney General (DEM),Sean Patrick Maloney,,10
1403,Constantia 3,Attorney General (DEM),Letitia A. James,,5
1404,Constantia 3,Attorney General (DEM),Leecia R. Eve,,1
1405,Constantia 3,Attorney General (DEM),Zephyr Teachout,,5
1406,Constantia 3,Attorney General (DEM),Write-ins,,0
1407,Constantia 3,Attorney General (DEM),Voids/Blanks,,0
1408,Constantia 4,Attorney General (DEM),,,
1409,Constantia 4,Attorney General (DEM),Ballots,,30
1410,Constantia 4,Attorney General (DEM),Sean Patrick Maloney,,19
1411,Constantia 4,Attorney General (DEM),Letitia A. James,,4
1412,Constantia 4,Attorney General (DEM),Leecia R. Eve,,2
1413,Constantia 4,Attorney General (DEM),Zephyr Teachout,,4
1414,Constantia 4,Attorney General (DEM),Write-ins,,0
1415,Constantia 4,Attorney General (DEM),Voids/Blanks,,1
1416,Granby 1,Attorney General (DEM),,,
1417,Granby 1,Attorney General (DEM),Ballots,,44
1418,Granby 1,Attorney General (DEM),Sean Patrick Maloney,,23
1419,Granby 1,Attorney General (DEM),Letitia A. James,,7
1420,Granby 1,Attorney General (DEM),Leecia R. Eve,,1
1421,Granby 1,Attorney General (DEM),Zephyr Teachout,,13
1422,Granby 1,Attorney General (DEM),Write-ins,,0
1423,Granby 1,Attorney General (DEM),Voids/Blanks,,0
1424,Granby 2,Attorney General (DEM),,,
1425,Granby 2,Attorney General (DEM),Ballots,,21
1426,Granby 2,Attorney General (DEM),Sean Patrick Maloney,,13
1427,Granby 2,Attorney General (DEM),Letitia A. James,,4
1428,Granby 2,Attorney General (DEM),Leecia R. Eve,,1
1429,Granby 2,Attorney General (DEM),Zephyr Teachout,,2
1430,Granby 2,Attorney General (DEM),Write-ins,,0
1431,Granby 2,Attorney General (DEM),Voids/Blanks,,1
1432,Granby 3,Attorney General (DEM),,,
1433,Granby 3,Attorney General (DEM),Ballots,,20
1434,Granby 3,Attorney General (DEM),Sean Patrick Maloney,,12
1435,Granby 3,Attorney General (DEM),Letitia A. James,,3
1436,Granby 3,Attorney General (DEM),Leecia R. Eve,,0
1437,Granby 3,Attorney General (DEM),Zephyr Teachout,,4
1438,Granby 3,Attorney General (DEM),Write-ins,,0
1439,Granby 3,Attorney General (DEM),Voids/Blanks,,1
1440,Granby 4,Attorney General (DEM),,,
1441,Granby 4,Attorney General (DEM),Ballots,,21
1442,Granby 4,Attorney General (DEM),Sean Patrick Maloney,,8
1443,Granby 4,Attorney General (DEM),Letitia A. James,,1
1444,Granby 4,Attorney General (DEM),Leecia R. Eve,,0
1445,Granby 4,Attorney General (DEM),Zephyr Teachout,,11
1446,Granby 4,Attorney General (DEM),Write-ins,,0
1447,Granby 4,Attorney General (DEM),Voids/Blanks,,1
1448,Granby 5,Attorney General (DEM),,,
1449,Granby 5,Attorney General (DEM),Ballots,,30
1450,Granby 5,Attorney General (DEM),Sean Patrick Maloney,,17
1451,Granby 5,Attorney General (DEM),Letitia A. James,,2
1452,Granby 5,Attorney General (DEM),Leecia R. Eve,,0
1453,Granby 5,Attorney General (DEM),Zephyr Teachout,,8
1454,Granby 5,Attorney General (DEM),Write-ins,,0
1455,Granby 5,Attorney General (DEM),Voids/Blanks,,3
1456,Hannibal 1,Attorney General (DEM),,,
1457,Hannibal 1,Attorney General (DEM),Ballots,,10
1458,Hannibal 1,Attorney General (DEM),Sean Patrick Maloney,,5
1459,Hannibal 1,Attorney General (DEM),Letitia A. James,,3
1460,Hannibal 1,Attorney General (DEM),Leecia R. Eve,,0
1461,Hannibal 1,Attorney General (DEM),Zephyr Teachout,,1
1462,Hannibal 1,Attorney General (DEM),Write-ins,,0
1463,Hannibal 1,Attorney General (DEM),Voids/Blanks,,1
1464,Hannibal 2,Attorney General (DEM),,,
1465,Hannibal 2,Attorney General (DEM),Ballots,,31
1466,Hannibal 2,Attorney General (DEM),Sean Patrick Maloney,,12
1467,Hannibal 2,Attorney General (DEM),Letitia A. James,,5
1468,Hannibal 2,Attorney General (DEM),Leecia R. Eve,,0
1469,Hannibal 2,Attorney General (DEM),Zephyr Teachout,,10
1470,Hannibal 2,Attorney General (DEM),Write-ins,,0
1471,Hannibal 2,Attorney General (DEM),Voids/Blanks,,4
1472,Hannibal 3,Attorney General (DEM),,,
1473,Hannibal 3,Attorney General (DEM),Ballots,,35
