Contest,Candidate Issue,Party,District Name,Total Votes,% of Total Votes
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Royalton 1, 2, 3, 4, 5, 6 ",2,0.56
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Somerset 1, 2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",3,0.39
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wilson 1, 2, 3, 4, 5 ",4,1.09
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Cambria 1, 2, 3, 4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Hartland 1, 2, 3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Lockport 1, 2, 15, 16 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Lockport 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Porter 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Royalton 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Somerset 1, 2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wilson 1, 2, 3, 4, 5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Tom Steyer,DM7,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Cambria 1,2,3,4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Hartland 1,2,3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lewiston 1,2,3,10,11,12,13,14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lewiston 4,5,6,7,8,9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 1,2,15, 16 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 3,4,5,10,11,12,13,14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Newfane 1,2,3,4,5,6,7,8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Niagara 1,2,3,4,5,6,7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Pendleton 1,2,3,4,5,6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Porter 1,2,3,4,5,6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Royalton 1,2,3,4,5,6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Somerset 1, 2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 1,2,3,4,6,7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 10,11,12,13,14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wilson 1,2,3,4,5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Niagara Falls 3/13 ",2,6.25
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",2,0.74
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",1,0.26
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 3/1, 3/2, 3/3 ",1,0.43
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",2,0.78
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",2,0.58
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Cambria 1, 2, 3, 4 ",4,1.03
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Hartland 1, 2, 3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",7,0.74
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",3,0.49
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 1, 2, 15, 16 ",3,0.95
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",6,0.81
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 6, 7, 8, 9 ",2,0.64
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",3,0.55
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",4,0.67
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",2,0.39
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Porter 1, 2, 3, 4, 5, 6 ",3,0.50
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Royalton 1, 2, 3, 4, 5, 6 ",3,0.85
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Somerset 1, 2 ",1,0.87
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",4,0.51
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 10, 11, 12, 13, 14 ",2,0.29
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wilson 1, 2, 3, 4, 5 ",4,1.09
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Cambria 1, 2, 3, 4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Hartland 1, 2, 3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 1, 2, 15, 16 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Lockport 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Porter 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Royalton 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Somerset 1, 2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wilson 1, 2, 3, 4, 5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Michael Bennet,DM8,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Cambria 1,2,3,4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Hartland 1,2,3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lewiston 1,2,3,10,11,12,13,14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lewiston 4,5,6,7,8,9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 1,2,15, 16 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 3,4,5,10,11,12,13,14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Newfane 1,2,3,4,5,6,7,8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Niagara 1,2,3,4,5,6,7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Pendleton 1,2,3,4,5,6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Porter 1,2,3,4,5,6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Royalton 1,2,3,4,5,6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Somerset 1, 2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 1,2,3,4,6,7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 10,11,12,13,14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wilson 1,2,3,4,5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",9,3.32
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",25,6.58
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 3/1, 3/2, 3/3 ",4,1.71
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",14,5.43
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",10,2.92
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Cambria 1, 2, 3, 4 ",9,2.32
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Hartland 1, 2, 3 ",10,5.56
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",29,3.05
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",14,2.27
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 1, 2, 15, 16 ",10,3.17
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",20,2.70
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 6, 7, 8, 9 ",13,4.17
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",21,3.87
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",17,2.83
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",28,5.46
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Porter 1, 2, 3, 4, 5, 6 ",17,2.83
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Royalton 1, 2, 3, 4, 5, 6 ",10,2.82
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Somerset 1, 2 ",3,2.61
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",24,3.09
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 10, 11, 12, 13, 14 ",14,2.05
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wilson 1, 2, 3, 4, 5 ",11,3.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 3/1, 3/2, 3/3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 4/1, 4/2, 4/3, 4/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"City of Lockport 5/1, 5/2, 5/3, 5/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Cambria 1, 2, 3, 4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Hartland 1, 2, 3 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lewiston 1, 2, 3, 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lewiston 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 1, 2, 15, 16 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 3, 4, 5, 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Lockport 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Newfane 1, 2, 3, 4, 5, 6, 7, 8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Niagara 1, 2, 3, 4, 5, 6, 7 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Pendleton 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Porter 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Royalton 1, 2, 3, 4, 5, 6 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Somerset 1, 2 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wilson 1, 2, 3, 4, 5 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 1, 2, 3, 4, 5, 6, 7, 8, 9 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Elizabeth Warren,DM9,"Town of Wheatfield 10, 11, 12, 13, 14 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Andrew Yang,DM10,"City of Niagara Falls 3/4, 3/5, 3/8 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Andrew Yang,DM10,"City of Niagara Falls 3/13 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Andrew Yang,DM10,"City of Lockport 1/1, 1/2, 1/3, 1/4 ",0,0.00
PRESIDENT OF THE UNITED STATES - 27th Congressional District - Democratic,Andrew Yang,DM10,"City of Lockport 2/1, 2/2, 2/3, 2/4 ",0,0.00
